n1dZfh2LnN6scysKGUAVQ3mVZhjD9SWzN5	 OpenLongPosition	 1657	 mysPqfMLWFvHnkYtqMT9c7CVLRUimueqqJ	 OpenShortPosition	 1657	 1657	 21785
mtFKiBNrxBmMA7fYa6M4mXK6xmDKDAdcuF	 OpenLongPosition	 1320	 mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 LongPosNetted	 0	 1320	 16123
mtFKiBNrxBmMA7fYa6M4mXK6xmDKDAdcuF	 LongPosIncreased	 1597	 mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 OpenShortPosition	 277	 277	 16123
mh33VKuD4UD2JgtBVDFnBxWY3Wcmb1wtcp	 OpenLongPosition	 2458	 mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 ShortPosIncreased	 2735	 2458	 16542
mip7crD4Yh2zA61UZoNKBWqQmPXkzK1eCW	 ShortPosNettedPartly	 3175	 mmJ7B7pC8apEQ65VisceaeMX3pHAP5YW1s	 OpenShortPosition	 1072	 1072	 13507
n31CCed7QGKz5CUsS9ZKfY3NEpHNZ9wz5w	 OpenLongPosition	 621	 mmJ7B7pC8apEQ65VisceaeMX3pHAP5YW1s	 ShortPosIncreased	 1693	 621	 13656
n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 ShortPosNettedPartly	 1289	 miuD6GinbLVQF54WVs3VhAxAyrSG5zWnfy	 LongPosNetted	 0	 217	 20971
n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 ShortPosNetted	 0	 miuD6GinbLVQF54WVs3VhAxAyrSG5zWnfy	 OpenShortPosition	 1289	 1289	 20971
n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 OpenLongPosition	 525	 miuD6GinbLVQF54WVs3VhAxAyrSG5zWnfy	 ShortPosIncreased	 1814	 525	 20971
mh33VKuD4UD2JgtBVDFnBxWY3Wcmb1wtcp	 LongPosIncreased	 4032	 n1Kmr2CCMbb5iAZT7NiSdcSGJzVbxUeUyR	 OpenShortPosition	 1574	 1574	 16542
mhwGgJ9BFhrYM7m1eXZNCcEUHJ8b7gcntS	 OpenLongPosition	 797	 n1Kmr2CCMbb5iAZT7NiSdcSGJzVbxUeUyR	 ShortPosIncreased	 2371	 797	 16641
mz3G9ejoe4uckRMckvoTJQVDHZ6ErYoPzT	 LongPosIncreased	 1783	 mr3TPh3poFmKMrdeQfe55VjsywFChbw9PQ	 OpenShortPosition	 1458	 1458	 14052
my9fXvoPZanTN14dgPAFeneakx6YM6ndfh	 OpenLongPosition	 2188	 mr3TPh3poFmKMrdeQfe55VjsywFChbw9PQ	 ShortPosIncreased	 3646	 2188	 14256
mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 LongPosIncreased	 411	 myynoS9WnpjgaMN1z9HuL6yD82TnoMmeNr	 OpenShortPosition	 409	 409	 18910
