n2gUG83546gzmTn6HDwao523LfLT18p3ZJ	 LongPosIncreased	 2242	 mtLCwj8AdnM7ZmS1ZoktskifVUhDU6HKWW	 ShortPosIncreased	 3615	 1721	 19078
myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 ShortPosNetted	 0	 mzWJFFhg4Y3ftMTfqxU6swbvPYYmVfYmpU	 OpenShortPosition	 459	 459	 15111
myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 OpenLongPosition	 359	 mzWJFFhg4Y3ftMTfqxU6swbvPYYmVfYmpU	 ShortPosIncreased	 818	 359	 15111
miQ8yz5KmGTpqiQ4JMULoK3wpyUdkaP5Rx	 ShortPosNettedPartly	 3784	 mzWJFFhg4Y3ftMTfqxU6swbvPYYmVfYmpU	 ShortPosIncreased	 1033	 215	 15181
mkDAuABm4oZkJVfPPgFpzXs4r53HG3kro6	 OpenLongPosition	 1517	 mzWJFFhg4Y3ftMTfqxU6swbvPYYmVfYmpU	 ShortPosIncreased	 2550	 1517	 15190
mzgsSqV1WTRQ78NLMabB7T6Z88WAmBSbWD	 ShortPosNettedPartly	 3183	 mzWJFFhg4Y3ftMTfqxU6swbvPYYmVfYmpU	 ShortPosIncreased	 3206	 656	 15231
mmJ7B7pC8apEQ65VisceaeMX3pHAP5YW1s	 ShortPosNettedPartly	 868	 mzWJFFhg4Y3ftMTfqxU6swbvPYYmVfYmpU	 ShortPosIncreased	 4031	 825	 15257
mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosNettedPartly	 16	 mjipxHiwwnw9WwfeEhUp5jv7yaJfYSPzDY	 LongPosNettedPartly	 931	 1748	 21994
n2gUG83546gzmTn6HDwao523LfLT18p3ZJ	 LongPosIncreased	 3881	 n2cQqJouTAx8J6XJWyUpCXmJxHFhwUSGuw	 OpenShortPosition	 1639	 1639	 19078
n1Kmr2CCMbb5iAZT7NiSdcSGJzVbxUeUyR	 ShortPosNettedPartly	 317	 n2cQqJouTAx8J6XJWyUpCXmJxHFhwUSGuw	 ShortPosIncreased	 3693	 2054	 19152
mg12NXQwtv2gkud9mdMUwHtoqKL9ArXPth	 ShortPosNettedPartly	 1357	 n2cQqJouTAx8J6XJWyUpCXmJxHFhwUSGuw	 ShortPosIncreased	 4738	 1045	 19203
mr9UfNxuSscu39pF2dr8C22GnQ6yaKMiRU	 ShortPosNettedPartly	 2327	 n2cQqJouTAx8J6XJWyUpCXmJxHFhwUSGuw	 ShortPosIncreased	 4874	 136	 19410
mmJ7B7pC8apEQ65VisceaeMX3pHAP5YW1s	 ShortPosNetted	 0	 mkJLCYXWC9LTfnCeiKEzXDkMcnYEiGvjg8	 LongPosNettedPartly	 3709	 868	 15257
mmJ7B7pC8apEQ65VisceaeMX3pHAP5YW1s	 OpenLongPosition	 960	 mkJLCYXWC9LTfnCeiKEzXDkMcnYEiGvjg8	 LongPosNettedPartly	 2749	 960	 15257
mysPqfMLWFvHnkYtqMT9c7CVLRUimueqqJ	 ShortPosNettedPartly	 91	 mkJLCYXWC9LTfnCeiKEzXDkMcnYEiGvjg8	 LongPosNettedPartly	 1748	 1001	 15507
msC1ZArDMfi7gG712X3fadeLDzRwVfgAFn	 ShortPosNettedPartly	 2892	 mkJLCYXWC9LTfnCeiKEzXDkMcnYEiGvjg8	 LongPosNettedPartly	 355	 1393	 15792
msC1ZArDMfi7gG712X3fadeLDzRwVfgAFn	 ShortPosNettedPartly	 2719	 mscgXwf5oRedKXueJjK2uuuEbmWNx8BqMC	 LongPosNetted	 0	 173	 15792
msC1ZArDMfi7gG712X3fadeLDzRwVfgAFn	 ShortPosNettedPartly	 599	 mscgXwf5oRedKXueJjK2uuuEbmWNx8BqMC	 OpenShortPosition	 2120	 2120	 15792
mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosNetted	 0	 mkDAuABm4oZkJVfPPgFpzXs4r53HG3kro6	 LongPosNettedPartly	 1501	 16	 21994
mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 OpenLongPosition	 1489	 mkDAuABm4oZkJVfPPgFpzXs4r53HG3kro6	 LongPosNettedPartly	 12	 1489	 21994
mr9UfNxuSscu39pF2dr8C22GnQ6yaKMiRU	 ShortPosNettedPartly	 1168	 mzd8Yemr69iJvoJrbWG1rMVgSfSiwwN87w	 LongPosNettedPartly	 2085	 1159	 19410
myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 ShortPosNetted	 0	 mzd8Yemr69iJvoJrbWG1rMVgSfSiwwN87w	 LongPosNettedPartly	 49	 2036	 19536
myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 OpenLongPosition	 49	 mzd8Yemr69iJvoJrbWG1rMVgSfSiwwN87w	 LongPosNetted	 0	 49	 19536
myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 LongPosIncreased	 397	 mzd8Yemr69iJvoJrbWG1rMVgSfSiwwN87w	 OpenShortPosition	 348	 348	 19536
myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 LongPosIncreased	 569	 mkYPaKUox3ZARexp6c34KnuC3fG87uujWp	 OpenShortPosition	 172	 172	 19536
myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 LongPosIncreased	 1061	 msE8ouVoEUHG7m7Ryupjn4SJcKXborX3W4	 OpenShortPosition	 492	 492	 19536
myQ7G8oPUX85pBwiRWByc29P8ovvnbwxyP	 LongPosIncreased	 1609	 moKprAYx4yytHDitt7h39kKT4VHBfejDC1	 OpenShortPosition	 548	 548	 19536
myr1WE3dhtP7vXSGgMWnsH2BoPey7fCENH	 ShortPosNetted	 0	 moKprAYx4yytHDitt7h39kKT4VHBfejDC1	 ShortPosIncreased	 678	 130	 19714
myr1WE3dhtP7vXSGgMWnsH2BoPey7fCENH	 OpenLongPosition	 1742	 moKprAYx4yytHDitt7h39kKT4VHBfejDC1	 ShortPosIncreased	 2420	 1742	 19714
myr1WE3dhtP7vXSGgMWnsH2BoPey7fCENH	 LongPosIncreased	 2467	 mhLeQjQavkwx7mYjcMaei5vKoPk25b4bqE	 OpenShortPosition	 725	 725	 19714
myr1WE3dhtP7vXSGgMWnsH2BoPey7fCENH	 LongPosIncreased	 2961	 mgGCbNygsQL8efUxuApJQt8yAj22hqgnmh	 OpenShortPosition	 494	 494	 19714
myynoS9WnpjgaMN1z9HuL6yD82TnoMmeNr	 ShortPosNetted	 0	 mgGCbNygsQL8efUxuApJQt8yAj22hqgnmh	 ShortPosIncreased	 903	 409	 19819
myynoS9WnpjgaMN1z9HuL6yD82TnoMmeNr	 OpenLongPosition	 1773	 mgGCbNygsQL8efUxuApJQt8yAj22hqgnmh	 ShortPosIncreased	 2676	 1773	 19819
mhdDVVM7gp8tPveeb5Jv8XmHaxe1tmhCz4	 ShortPosNettedPartly	 1136	 mgGCbNygsQL8efUxuApJQt8yAj22hqgnmh	 ShortPosIncreased	 4450	 1774	 19919
n2cQqJouTAx8J6XJWyUpCXmJxHFhwUSGuw	 ShortPosNettedPartly	 4595	 mgGCbNygsQL8efUxuApJQt8yAj22hqgnmh	 ShortPosIncreased	 4729	 279	 19922
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 ShortPosNettedPartly	 1766	 mgGCbNygsQL8efUxuApJQt8yAj22hqgnmh	 ShortPosIncreased	 4752	 23	 20219
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 ShortPosNettedPartly	 977	 mtJkgQ2v2SNHF48n9XXH6LyJhf9xEiujUx	 OpenShortPosition	 789	 789	 20219
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 ShortPosNettedPartly	 690	 mj6MVGUs8fuL3csSZVCQbgeu678YkT1x6B	 OpenShortPosition	 287	 287	 20219
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 ShortPosNettedPartly	 252	 moyJtC5qpXB71Bnhoq6HMzL4G6TuNEGCDe	 OpenShortPosition	 438	 438	 20219
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 ShortPosNetted	 0	 mw4XZ6J9xj3jyC6H4qBN6Li1CuDqhS8DmL	 OpenShortPosition	 252	 252	 20219
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 OpenLongPosition	 1043	 mw4XZ6J9xj3jyC6H4qBN6Li1CuDqhS8DmL	 ShortPosIncreased	 1295	 1043	 20219
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 LongPosIncreased	 1263	 mwWi5dRwe8s8u6y5fRn8BE18F76igtrbEY	 OpenShortPosition	 220	 220	 20219
mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 LongPosIncreased	 1934	 mogfgsCV6EEDVRjxm7D9cP8dS4sxjZAELg	 OpenShortPosition	 671	 671	 20219
mzWJFFhg4Y3ftMTfqxU6swbvPYYmVfYmpU	 ShortPosNettedPartly	 1729	 mogfgsCV6EEDVRjxm7D9cP8dS4sxjZAELg	 ShortPosIncreased	 2973	 2302	 20313
n2WWopeKG4BNbANG5YPagtPbeq9U38uhCa	 LongPosNettedPartly	 1060	 mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 ShortPosNetted	 0	 934	 11497
n2WWopeKG4BNbANG5YPagtPbeq9U38uhCa	 LongPosNettedPartly	 678	 mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 OpenLongPosition	 382	 382	 11497
mmqoZsttrkBLxvRswvk1166uY5js8LX6ny	 LongPosNettedPartly	 638	 mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 LongPosIncreased	 1748	 1366	 11909
mkZxW4BFueQswjBaKm6LTDDEscAvAKYZpM	 LongPosNettedPartly	 298	 mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 LongPosIncreased	 2782	 1034	 11951
n31CCed7QGKz5CUsS9ZKfY3NEpHNZ9wz5w	 LongPosNettedPartly	 1873	 mrNvw6q378YAq9weAyxHLBWf3JXSYFBKhb	 LongPosIncreased	 3000	 218	 12382
n31CCed7QGKz5CUsS9ZKfY3NEpHNZ9wz5w	 LongPosNetted	 0	 mw7NBcNheFUjZJHW1uHDLBiPhjEas1PG4K	 LongPosIncreased	 2168	 1873	 12382
n31CCed7QGKz5CUsS9ZKfY3NEpHNZ9wz5w	 OpenShortPosition	 1171	 mw7NBcNheFUjZJHW1uHDLBiPhjEas1PG4K	 LongPosIncreased	 3339	 1171	 12382
mtjmMKhg9UYMADUv6sb9yvC4Nx5HikBMW5	 OpenShortPosition	 837	 mw7NBcNheFUjZJHW1uHDLBiPhjEas1PG4K	 LongPosIncreased	 4176	 837	 12443
muN9CbcNs9tZHJDMJLd5J51z92KAGb2ykG	 LongPosNettedPartly	 4293	 mw7NBcNheFUjZJHW1uHDLBiPhjEas1PG4K	 LongPosIncreased	 4463	 287	 12472
muZTmpFfKndFumiac2MrHUeDGGeNcG4ko9	 LongPosNettedPartly	 966	 mw7NBcNheFUjZJHW1uHDLBiPhjEas1PG4K	 LongPosIncreased	 4627	 164	 12485
muZTmpFfKndFumiac2MrHUeDGGeNcG4ko9	 LongPosNetted	 0	 mip7crD4Yh2zA61UZoNKBWqQmPXkzK1eCW	 ShortPosNettedPartly	 2209	 966	 12485
muZTmpFfKndFumiac2MrHUeDGGeNcG4ko9	 OpenShortPosition	 1682	 mip7crD4Yh2zA61UZoNKBWqQmPXkzK1eCW	 ShortPosNettedPartly	 527	 1682	 12485
n3i6GMc4BEhGajcB2f3w3TvxtatRSnxV5D	 LongPosNettedPartly	 2313	 moJmCiLmLhwFbs8qGvtfWAd1xSHVTq5TLh	 ShortPosNettedPartly	 2113	 144	 13181
mpAV5AQ4SZZDgRhUSAh5JQGpiAxeQo3Lcg	 OpenShortPosition	 398	 moJmCiLmLhwFbs8qGvtfWAd1xSHVTq5TLh	 ShortPosNettedPartly	 1715	 398	 13807
mscgXwf5oRedKXueJjK2uuuEbmWNx8BqMC	 ShortPosIncreased	 3315	 moJmCiLmLhwFbs8qGvtfWAd1xSHVTq5TLh	 ShortPosNettedPartly	 520	 1195	 14266
mscgXwf5oRedKXueJjK2uuuEbmWNx8BqMC	 ShortPosIncreased	 3540	 mkyjGQzgk5MzhWHGZu65gF7PyJk1AqbKTa	 LongPosIncreased	 2017	 225	 14266
mz5ywhh3qQkS1SYCCGjqYYEz651nJLCnBo	 OpenShortPosition	 1600	 mkyjGQzgk5MzhWHGZu65gF7PyJk1AqbKTa	 LongPosIncreased	 3617	 1600	 14387
mpcXzKR1Trj5few7p14zvr4K3PR3HNYUt3	 LongPosNettedPartly	 344	 mkyjGQzgk5MzhWHGZu65gF7PyJk1AqbKTa	 LongPosIncreased	 5364	 1747	 14540
mpcXzKR1Trj5few7p14zvr4K3PR3HNYUt3	 LongPosNetted	 0	 n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 LongPosIncreased	 1379	 344	 14540
mpcXzKR1Trj5few7p14zvr4K3PR3HNYUt3	 OpenShortPosition	 2126	 n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 LongPosIncreased	 3505	 2126	 14540
myvYCodwri3KMR8TZQ5zpNt9jo1tUGt15Y	 LongPosNettedPartly	 1695	 n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 LongPosIncreased	 4616	 1111	 14827
mogfgsCV6EEDVRjxm7D9cP8dS4sxjZAELg	 ShortPosIncreased	 3588	 n3hLyb7VxpTA458e4cmSWuifz9fiKyFseZ	 LongPosIncreased	 5231	 615	 15305
mogfgsCV6EEDVRjxm7D9cP8dS4sxjZAELg	 ShortPosIncreased	 3679	 mysPqfMLWFvHnkYtqMT9c7CVLRUimueqqJ	 ShortPosNetted	 0	 91	 15305
mogfgsCV6EEDVRjxm7D9cP8dS4sxjZAELg	 ShortPosIncreased	 4495	 mysPqfMLWFvHnkYtqMT9c7CVLRUimueqqJ	 OpenLongPosition	 816	 816	 15305
n3R7w1dP8r7jc5vJHi15dCjDGLhJgK3pWN	 OpenShortPosition	 245	 mysPqfMLWFvHnkYtqMT9c7CVLRUimueqqJ	 LongPosIncreased	 1061	 245	 15312
mnfeHNX1tmtVTgMk2LKYjNYkhQu5aRhPuW	 OpenShortPosition	 3153	 mysPqfMLWFvHnkYtqMT9c7CVLRUimueqqJ	 LongPosIncreased	 4214	 3153	 15418
mnfeHNX1tmtVTgMk2LKYjNYkhQu5aRhPuW	 ShortPosIncreased	 3449	 mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 LongPosIncreased	 451	 296	 15418
mxa83eTf3e8zWXbgcW515rFSdYRQT7sGDr	 LongPosNettedPartly	 430	 mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 LongPosIncreased	 1571	 1120	 16114
mvVpMfDUvHKxFiwU53CMnKKmxNw7xYF1Va	 LongPosNettedPartly	 3864	 mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 LongPosIncreased	 1864	 293	 16487
n24uWhxiUrMZNn9ZjhE6pidufu99PiNahG	 OpenShortPosition	 454	 mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 LongPosIncreased	 2318	 454	 17963
n24uWhxiUrMZNn9ZjhE6pidufu99PiNahG	 ShortPosIncreased	 1437	 mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 LongPosIncreased	 2472	 983	 17963
myzfnoFyttnqEXJv7PAt971bUVZPgzUYV9	 OpenShortPosition	 1386	 myr1WE3dhtP7vXSGgMWnsH2BoPey7fCENH	 LongPosIncreased	 4347	 1386	 19046
myzfnoFyttnqEXJv7PAt971bUVZPgzUYV9	 ShortPosIncreased	 1435	 moasEFkKEZMiE3UWgPxeyu4TnNzaaFy3Kp	 ShortPosNetted	 0	 49	 19046
myzfnoFyttnqEXJv7PAt971bUVZPgzUYV9	 ShortPosIncreased	 3642	 moasEFkKEZMiE3UWgPxeyu4TnNzaaFy3Kp	 OpenLongPosition	 2207	 2207	 19046
mjqvH5a4cvKybX8u5PpaPqhZhY89UfbLra	 OpenShortPosition	 1216	 mzMjgkaCpkNYigwMDGPj9oWAAYVJE8F7Wc	 ShortPosNetted	 0	 1216	 20370
mjqvH5a4cvKybX8u5PpaPqhZhY89UfbLra	 ShortPosIncreased	 1995	 mzMjgkaCpkNYigwMDGPj9oWAAYVJE8F7Wc	 OpenLongPosition	 779	 779	 20370
