mxKBsnMgaowavbGNt9xYj5tVXGV49DyV8J	 LongPosIncreased	 8100000000	 mkf64NkFF572qPfjtoa6g8itvFtkr4rg8d	 OpenShortPosition	 3500000000	 3500000000
mufZiuNCqXjSauNzc574T355eMKPp2C5uu	 OpenLongPosition	 2200000000	 mkf64NkFF572qPfjtoa6g8itvFtkr4rg8d	 ShortPosIncreased	 5700000000	 2200000000
mkf64NkFF572qPfjtoa6g8itvFtkr4rg8d	 ShortPosIncreased	 7100000000	 mr2zrx9xJ86kuh4u4AcHUbSiJaWjs2tabw	 OpenLongPosition	 1400000000	 1400000000
mhQ6VCEJeVLpdbsv8DZ8oHt4bzeBdNjipS	 ShortPosIncreased	 7500000000	 mr2zrx9xJ86kuh4u4AcHUbSiJaWjs2tabw	 LongPosIncreased	 5200000000	 3800000000
mre2VNeXsczjKZ4E52HYhs2yTaN5cHPNne	 OpenLongPosition	 3400000000	 mmMGdAbzRpyfjjF4r5GxeZSY9TJHzhE2DT	 OpenShortPosition	 3400000000	 3400000000
mmMGdAbzRpyfjjF4r5GxeZSY9TJHzhE2DT	 ShortPosIncreased	 4600000000	 mzsfdrrpt7zqB8RsiU4spRpRrMX6wR5TAQ	 OpenLongPosition	 1200000000	 1200000000
mhQ6VCEJeVLpdbsv8DZ8oHt4bzeBdNjipS	 ShortPosIncreased	 9400000000	 mzsfdrrpt7zqB8RsiU4spRpRrMX6wR5TAQ	 LongPosIncreased	 3100000000	 1900000000
mrk51Cd25j8uN9j2LkQdQJpL4JA41iuqfY	 OpenShortPosition	 1700000000	 mzsfdrrpt7zqB8RsiU4spRpRrMX6wR5TAQ	 LongPosIncreased	 4800000000	 1700000000
n2WrSmRWGgYgkzjdAsWwz1Xaz67F9tx4qq	 ShortPosIncreased	 7200000000	 mmcc3R2vSUn8zcNHCpRKm5a82CtytJ14Wk	 OpenLongPosition	 2300000000	 2300000000
mmtjTfN4YMA51oUTWMfa6JKGwdLfCJSAS4	 OpenShortPosition	 1800000000	 mmcc3R2vSUn8zcNHCpRKm5a82CtytJ14Wk	 LongPosIncreased	 4100000000	 1800000000
mzsfdrrpt7zqB8RsiU4spRpRrMX6wR5TAQ	 LongPosIncreased	 6900000000	 mjoAzutmNYqZ3RMEJJJXXyKikL3mqWNmAm	 OpenShortPosition	 2100000000	 2100000000
myySrGjtuv3h4SEuRtqj3K6d1Q9BWsfTUx	 OpenLongPosition	 3200000000	 mjoAzutmNYqZ3RMEJJJXXyKikL3mqWNmAm	 ShortPosIncreased	 5300000000	 3200000000
mmtjTfN4YMA51oUTWMfa6JKGwdLfCJSAS4	 ShortPosIncreased	 2000000000	 mrRH8egaksVYaGS1wKq3ys61Wo37AqK5PR	 OpenLongPosition	 200000000	 200000000
my6YmudosrA6QnEbdJb3uRfXSygnZdsuKH	 OpenShortPosition	 7300000000	 mrRH8egaksVYaGS1wKq3ys61Wo37AqK5PR	 LongPosIncreased	 7500000000	 7300000000
myySrGjtuv3h4SEuRtqj3K6d1Q9BWsfTUx	 LongPosIncreased	 6700000000	 n1V3bd2y7fGuy9fZjmSZGSeac3Z8qukHm4	 OpenShortPosition	 3500000000	 3500000000
my6YmudosrA6QnEbdJb3uRfXSygnZdsuKH	 ShortPosIncreased	 8000000000	 mk94Z3sfcvbBfvFovYY22MTCypV23Y4yHP	 OpenLongPosition	 700000000	 700000000
my6YmudosrA6QnEbdJb3uRfXSygnZdsuKH	 ShortPosIncreased	 8700000000	 mgmVqDAw41ad5PdTbb5rF6rEb8w8MggChP	 OpenLongPosition	 700000000	 700000000
mptGQYjQYarBawFndtvpspg1ukVsKc5vfm	 OpenShortPosition	 800000000	 mgmVqDAw41ad5PdTbb5rF6rEb8w8MggChP	 LongPosIncreased	 1500000000	 800000000
mmermNng4U9tnDsoKUHMfjjyTAyUaaGU2Z	 OpenShortPosition	 6900000000	 mgmVqDAw41ad5PdTbb5rF6rEb8w8MggChP	 LongPosIncreased	 8400000000	 6900000000
myySrGjtuv3h4SEuRtqj3K6d1Q9BWsfTUx	 LongPosIncreased	 8000000000	 mkMLEtauhhsdZz7YCqpCaE2r5hFp6DV1Q5	 OpenShortPosition	 1300000000	 1300000000
moEidpU1TiZ1dBN1URs8zrtJtCS2vtTXLd	 OpenLongPosition	 3800000000	 mkMLEtauhhsdZz7YCqpCaE2r5hFp6DV1Q5	 ShortPosIncreased	 5100000000	 3800000000
mmermNng4U9tnDsoKUHMfjjyTAyUaaGU2Z	 ShortPosIncreased	 8200000000	 n318Tsfx6eUCpMUkaUFQFGmkPmNg7gftBE	 OpenLongPosition	 1300000000	 1300000000
mmermNng4U9tnDsoKUHMfjjyTAyUaaGU2Z	 ShortPosIncreased	 8600000000	 mhyRHzC4hx19QHvMhTErFggnc5ptkLB5qb	 OpenLongPosition	 400000000	 400000000
moVwXr3rC7Pr7jpRypgDDqm1xHj8Cd11ch	 OpenShortPosition	 3400000000	 mhyRHzC4hx19QHvMhTErFggnc5ptkLB5qb	 LongPosIncreased	 3800000000	 3400000000
mhxb45mGPhFjZzZXtbrVeVrcVH65wVTtt2	 OpenShortPosition	 600000000	 mhyRHzC4hx19QHvMhTErFggnc5ptkLB5qb	 LongPosIncreased	 4400000000	 600000000
mhxb45mGPhFjZzZXtbrVeVrcVH65wVTtt2	 ShortPosIncreased	 8200000000	 mmSDi8WcndaQBXRkXTJyZXqf7LYvWzEDfW	 OpenLongPosition	 7600000000	 7600000000
moEidpU1TiZ1dBN1URs8zrtJtCS2vtTXLd	 LongPosIncreased	 7600000000	 mhnw55WmLZxffnCuzYbDTSYRZuqbwmqxC7	 OpenShortPosition	 3800000000	 3800000000
mshNhGPD2SBzr2Lw2sVNqN747rZpoyKKVK	 OpenLongPosition	 2400000000	 mhnw55WmLZxffnCuzYbDTSYRZuqbwmqxC7	 ShortPosIncreased	 6200000000	 2400000000
n4EdtbNZf9zARVQd9ndEH8emeJ1RyvqRAp	 OpenLongPosition	 1500000000	 moQwg5qx4GdAG4DiHX71XBWSc9cbnHStmY	 OpenShortPosition	 1500000000	 1500000000
moeuYtmbrdfeZLLLbRs4iEQx2Sxu6JYsgf	 LongPosIncreased	 6700000000	 mnE7zL8zqFjcqFmkVBV1Hw1g7zTmidxHvf	 OpenShortPosition	 500000000	 500000000
mjdKEBUtiHGpPuMjnxENhA3LFuvnxWjxbp	 OpenLongPosition	 1000000000	 mqQyiPa5zMkZFjvKUpLvVcebtMRkPnnhRw	 OpenShortPosition	 1000000000	 1000000000
mjdKEBUtiHGpPuMjnxENhA3LFuvnxWjxbp	 LongPosIncreased	 5400000000	 n2mCGjyACwvZcAEZAiG41wPVgQJSyRYL6L	 OpenShortPosition	 4400000000	 4400000000
mjdKEBUtiHGpPuMjnxENhA3LFuvnxWjxbp	 LongPosIncreased	 9800000000	 moxmzoq9Q8UW6KNfVPgMcojeNMf8Ef4aHY	 OpenShortPosition	 4400000000	 4400000000
moxmzoq9Q8UW6KNfVPgMcojeNMf8Ef4aHY	 ShortPosIncreased	 6600000000	 myRA6XsS3Q5R65qvgT7fuJxFk3fiHpU3wi	 OpenLongPosition	 2200000000	 2200000000
n2KBtvn1b4cvsb4HmU6LTbVdoXy5CFPmkR	 OpenShortPosition	 6000000000	 myRA6XsS3Q5R65qvgT7fuJxFk3fiHpU3wi	 LongPosIncreased	 8200000000	 6000000000
mofAtBgxyKurkwpSfeRpC2UqGZQpjGJnHk	 OpenLongPosition	 3200000000	 mgso17ePNCK3NGNXmdUV84T5cbxDJtRD4z	 OpenShortPosByLongPosNetted	 700000000	 3200000000
mu8hy1ddiaCJWGweMGfRtfbVCu5dpi8kru	 LongPosIncreased	 13300000000	 mgso17ePNCK3NGNXmdUV84T5cbxDJtRD4z	 ShortPosIncreased	 1000000000	 300000000
mxw6BDKe2zzyhpAV4ohX16M2jBvEPZoXKN	 ShortPosNettedPartly	 4900000000	 mgso17ePNCK3NGNXmdUV84T5cbxDJtRD4z	 ShortPosIncreased	 4100000000	 3100000000
mxw6BDKe2zzyhpAV4ohX16M2jBvEPZoXKN	 OpenLongPosByShortPosNetted	 1000000000	 n1Eh5xdSHK8imym1Tu7UuGKN7FECJiVvDY	 LongPosNettedPartly	 1000000000	 5900000000
myRA6XsS3Q5R65qvgT7fuJxFk3fiHpU3wi	 LongPosIncreased	 9300000000	 n1Eh5xdSHK8imym1Tu7UuGKN7FECJiVvDY	 OpenShortPosByLongPosNetted	 100000000	 1100000000
n1Eh5xdSHK8imym1Tu7UuGKN7FECJiVvDY	 ShortPosIncreased	 2000000000	 mhkR2KS4sJW7qyiFixxvqBTavcDBmSzVuD	 LongPosIncreased	 3500000000	 1900000000
mvZA5D6TCV18fJh7QFJYgLNeZjpavmLxrK	 ShortPosIncreased	 10700000000	 mhkR2KS4sJW7qyiFixxvqBTavcDBmSzVuD	 LongPosIncreased	 5100000000	 1600000000
mnE7zL8zqFjcqFmkVBV1Hw1g7zTmidxHvf	 ShortPosIncreased	 1800000000	 moC1iHvJKd9RMtGJCfzvXE96rbFP5pyTqr	 OpenLongPosition	 1300000000	 1300000000
mrzZDaa8caVcRCDFY8SrK8uaBf6RfPWVMt	 OpenShortPosition	 4100000000	 moC1iHvJKd9RMtGJCfzvXE96rbFP5pyTqr	 LongPosIncreased	 5400000000	 4100000000
