moBofRQfVmwJwAkJtbc3hx513BCe951s6k	 LongPosIncreased	 1623	 mh7o62f5FMLRMRLDeZ33cTFVxnJaTt9WN6	 OpenShortPosition	 1155	 1155
mffmuQvjZe6wcYN9aGGtJ6MpBuaBd6HCD1	 ShortPosNetted	 0	 mh7o62f5FMLRMRLDeZ33cTFVxnJaTt9WN6	 ShortPosIncreased	 3606	 2451
mffmuQvjZe6wcYN9aGGtJ6MpBuaBd6HCD1	 OpenLongPosition	 584	 mh7o62f5FMLRMRLDeZ33cTFVxnJaTt9WN6	 ShortPosIncreased	 4190	 584
mj6dkBZP21KV1SRX4JEUWgdTodQ7kiaiAy	 OpenLongPosition	 775	 mh7o62f5FMLRMRLDeZ33cTFVxnJaTt9WN6	 ShortPosIncreased	 4965	 775
mjy8yLEUy2NZih5nojC3UW5HeGLGtPBtt7	 LongPosIncreased	 2788	 mxFycE4S1G5KmQNUvv3HLXrYYEakBF7UgA	 OpenShortPosition	 730	 730
mh7o62f5FMLRMRLDeZ33cTFVxnJaTt9WN6	 ShortPosNettedPartly	 3075	 mt6pM7u8kBysbZG7eaUGfWLpNh9H34st5U	 OpenShortPosition	 1890	 1890
my7sjVLnFcu74Mmfxyrs6QiaoUUhEbGmLL	 ShortPosNettedPartly	 1281	 mi6Scc8zrSwv6t8DKSEwJJbukS1MDzVvMu	 LongPosNettedPartly	 1023	 250
mh7o62f5FMLRMRLDeZ33cTFVxnJaTt9WN6	 ShortPosNettedPartly	 2915	 mjy8yLEUy2NZih5nojC3UW5HeGLGtPBtt7	 LongPosNettedPartly	 2628	 160
muRGEUKPgJJW8fR5jfSf9sdzu5eZMdwZfV	 OpenLongPosition	 2628	 mjy8yLEUy2NZih5nojC3UW5HeGLGtPBtt7	 LongPosNetted	 0	 2628
muRGEUKPgJJW8fR5jfSf9sdzu5eZMdwZfV	 LongPosIncreased	 4037	 mjy8yLEUy2NZih5nojC3UW5HeGLGtPBtt7	 OpenShortPosition	 1409	 1409
mfs5KfMamFnxR8JN9h3DQcrzLa7xFsBhaC	 OpenLongPosition	 614	 miSzKep6K9L6sUT1o48qDpWTfusYYxJzXK	 OpenShortPosition	 614	 614
myKWMpzDgRHYHH6Ymwwy2t81w34oU1MUCC	 OpenLongPosition	 2561	 miSzKep6K9L6sUT1o48qDpWTfusYYxJzXK	 ShortPosIncreased	 3175	 2561
mj6dkBZP21KV1SRX4JEUWgdTodQ7kiaiAy	 LongPosIncreased	 1916	 mzpFParbkxyZ6CKkFWZdmaGQrY5UM5yA39	 LongPosNetted	 0	 1141
mj6dkBZP21KV1SRX4JEUWgdTodQ7kiaiAy	 LongPosIncreased	 2923	 mzpFParbkxyZ6CKkFWZdmaGQrY5UM5yA39	 OpenShortPosition	 1007	 1007
mrZWnYz3ofjty9GWFxn3P8bUk5x5BJhXyQ	 OpenLongPosition	 822	 n4EzCgmt8HfhLt92yKABStdmX4boBfXfDB	 OpenShortPosition	 822	 822
mx4er8UPcnvkK748GUSLcinauoaMzNtAjW	 ShortPosNettedPartly	 2952	 myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 LongPosNettedPartly	 77	 204
muZdAobaFmmFSr7iW9zU87jHC3asjy7hti	 LongPosIncreased	 2309	 myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 LongPosNetted	 0	 77
muZdAobaFmmFSr7iW9zU87jHC3asjy7hti	 LongPosIncreased	 2906	 myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 OpenShortPosition	 597	 597
mnoae3HAseyH9snfytepzC4BTV1fUGSjZ2	 OpenLongPosition	 956	 myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 ShortPosIncreased	 1553	 956
mhQiKRJ92t7PkmFAsSAWx6cvqdCJEdAGjN	 ShortPosNetted	 0	 myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 ShortPosIncreased	 2230	 677
mhQiKRJ92t7PkmFAsSAWx6cvqdCJEdAGjN	 OpenLongPosition	 2269	 myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 ShortPosIncreased	 4499	 2269
mmJpZppu35yEw5rZRy3WjTgJCUEbFC3ydo	 OpenLongPosition	 885	 mxuYzGeCQnRg44Uom1h8U9PqsXDexbwnpF	 OpenShortPosition	 885	 885
mhhmLnKh1MzRQbRCC8rPuYfoT9GpqWeHiS	 ShortPosNetted	 0	 mxuYzGeCQnRg44Uom1h8U9PqsXDexbwnpF	 ShortPosIncreased	 4270	 3385
mhhmLnKh1MzRQbRCC8rPuYfoT9GpqWeHiS	 OpenLongPosition	 299	 mxuYzGeCQnRg44Uom1h8U9PqsXDexbwnpF	 ShortPosIncreased	 4569	 299
mjy8yLEUy2NZih5nojC3UW5HeGLGtPBtt7	 ShortPosNettedPartly	 551	 n3sEjLfTH949QGXr54ydTmWu3xUzY8FT1x	 OpenShortPosition	 858	 858
myc23Yobr6piJKfWienY59UUbjcCmVMhBk	 ShortPosNettedPartly	 1491	 n3sEjLfTH949QGXr54ydTmWu3xUzY8FT1x	 ShortPosIncreased	 3157	 2299
myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 ShortPosNettedPartly	 3802	 mn9Mw2FiCsBimNg1Lpmjx9HNn4jMccGvR9	 LongPosNetted	 0	 697
myVSaB15U4RdHmUBoSEk1YC3w4HpqCHqQs	 ShortPosNettedPartly	 2337	 mn9Mw2FiCsBimNg1Lpmjx9HNn4jMccGvR9	 OpenShortPosition	 1465	 1465
myKWMpzDgRHYHH6Ymwwy2t81w34oU1MUCC	 LongPosIncreased	 3482	 mn9Mw2FiCsBimNg1Lpmjx9HNn4jMccGvR9	 ShortPosIncreased	 2386	 921
mfXRBdeimu2HnMyfcNGLEgfYxa6DA5EQap	 OpenLongPosition	 1976	 mn9Mw2FiCsBimNg1Lpmjx9HNn4jMccGvR9	 ShortPosIncreased	 4362	 1976
