mo1oJX78m4QX6z6qRVwA37RzQYmMAYc4LC	 OpenLongPosition	 3253	 mkNtf2agH9g82F765KAf1pd6h4F147kjoB	 ShortPosIncreased	 4729	 3253	 11267
myKWXQCpCrjZ5NodWwZ28JcstC9XdPqTWM	 ShortPosNetted	 0	 mieJnaQEAd5F6KhtwGEfKveciWFkuTr3Tu	 OpenShortPosition	 158	 158	 17558
myKWXQCpCrjZ5NodWwZ28JcstC9XdPqTWM	 OpenLongPosition	 3899	 mieJnaQEAd5F6KhtwGEfKveciWFkuTr3Tu	 ShortPosIncreased	 4057	 3899	 17558
mqeixocb8SyGfdgZjkesiHrfShHqBwXqKR	 OpenLongPosition	 1804	 mgKcYKtzt6sFgRFcjFyFzQfbDn9CJd5PHp	 OpenShortPosition	 1804	 1804	 16432
n44RLfzjmrjeGef6ftkGBrP3Bc69GYXkDZ	 ShortPosNettedPartly	 2304	 mjmxQKktBfBWwE33JdBc2LN6CCz5cohYMx	 LongPosNetted	 0	 322	 19158
n44RLfzjmrjeGef6ftkGBrP3Bc69GYXkDZ	 ShortPosNetted	 0	 mjmxQKktBfBWwE33JdBc2LN6CCz5cohYMx	 OpenShortPosition	 2304	 2304	 19158
n44RLfzjmrjeGef6ftkGBrP3Bc69GYXkDZ	 OpenLongPosition	 618	 mjmxQKktBfBWwE33JdBc2LN6CCz5cohYMx	 ShortPosIncreased	 2922	 618	 19158
mrdCZQtsasEvLgtaUsY4wNNki32qBPJLGx	 LongPosIncreased	 3412	 mjmxQKktBfBWwE33JdBc2LN6CCz5cohYMx	 ShortPosIncreased	 3189	 267	 19774
mxWjE3FQ1ChE3hNEsEpzWPMjiwkTBxBD1J	 OpenLongPosition	 705	 mjmxQKktBfBWwE33JdBc2LN6CCz5cohYMx	 ShortPosIncreased	 3894	 705	 19828
mx9agg9boRbEQ2E3NrgE2VDNFwN8KTUjJM	 LongPosIncreased	 946	 n2vhze8m1Qq12FwcUJCbM2xJp87KpnsBTJ	 OpenShortPosition	 508	 508	 17333
myKWXQCpCrjZ5NodWwZ28JcstC9XdPqTWM	 LongPosIncreased	 3957	 n2vhze8m1Qq12FwcUJCbM2xJp87KpnsBTJ	 ShortPosIncreased	 566	 58	 17558
n1b1AGU4DWnDR4SjBg7dQVQW3qwTWBJ5cR	 OpenLongPosition	 1229	 n2vhze8m1Qq12FwcUJCbM2xJp87KpnsBTJ	 ShortPosIncreased	 1795	 1229	 17558
mjz6ARpe6uv5S9FWRpm71rxsY6XuKniMR9	 LongPosIncreased	 5095	 mnB2Cd1w28tVaqNHE6Y7n7S8CWCsegkdwf	 LongPosNettedPartly	 23	 174	 20214
miMZMWFUNzy2pnzCVw31M3kLhGQJwP6Hrk	 OpenLongPosition	 23	 mnB2Cd1w28tVaqNHE6Y7n7S8CWCsegkdwf	 LongPosNetted	 0	 23	 20244
miMZMWFUNzy2pnzCVw31M3kLhGQJwP6Hrk	 LongPosIncreased	 2734	 mnB2Cd1w28tVaqNHE6Y7n7S8CWCsegkdwf	 OpenShortPosition	 2711	 2711	 20244
mrGuEwWjbQDtPS2NSXtpENR8iFcs2eBWb3	 OpenLongPosition	 981	 mqnTnwiqyaEY5oNVLz2V8JdXN4WAzhKD3U	 OpenShortPosition	 981	 981	 20825
mgKcYKtzt6sFgRFcjFyFzQfbDn9CJd5PHp	 ShortPosNettedPartly	 747	 mqnTnwiqyaEY5oNVLz2V8JdXN4WAzhKD3U	 ShortPosIncreased	 2038	 1057	 21111
