n3yEeM6CHD7srfMGjGBGLCXNqDqyAsqrvh	 ShortPosNettedPartly	 3320	 n35jKmn6VHnDWC38yXnifrdXawdrCgp1Kw	 LongPosNettedPartly	 62	 1229
n4EUCWzRBrCjSrQTs5FFnQbapCG88PubFG	 ShortPosNettedPartly	 1793	 n35jKmn6VHnDWC38yXnifrdXawdrCgp1Kw	 LongPosNetted	 0	 62
n4EUCWzRBrCjSrQTs5FFnQbapCG88PubFG	 ShortPosNettedPartly	 1550	 n35jKmn6VHnDWC38yXnifrdXawdrCgp1Kw	 OpenShortPosition	 243	 243
mrV8GuDs12Xrd9Vdt5o4Bz39Scv7XLy2iU	 LongPosIncreased	 1309	 my1LWpf7ApoRL5b3Wh2pDQCvo3CSo2xCn6	 LongPosNetted	 0	 750
mrV8GuDs12Xrd9Vdt5o4Bz39Scv7XLy2iU	 LongPosIncreased	 2383	 my1LWpf7ApoRL5b3Wh2pDQCvo3CSo2xCn6	 OpenShortPosition	 1074	 1074
mtREqvJVxLvyp7LGyUy5Xgo4GNtNdqhQp3	 ShortPosNettedPartly	 1073	 mqnXbk5uBfVhF5YoaimDEg3ZDmb6qLCK9N	 LongPosNettedPartly	 255	 1850
mrV8GuDs12Xrd9Vdt5o4Bz39Scv7XLy2iU	 LongPosIncreased	 3086	 mjNp7RuzxtXsGeWyMcZwhQRSX27qAyxuA6	 LongPosNettedPartly	 226	 703
mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 ShortPosNettedPartly	 889	 mjNp7RuzxtXsGeWyMcZwhQRSX27qAyxuA6	 LongPosNetted	 0	 226
mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 ShortPosNettedPartly	 798	 mjNp7RuzxtXsGeWyMcZwhQRSX27qAyxuA6	 OpenShortPosition	 91	 91
mqHqzkycKSezcinCHPBMTZjEjbbZ5DcP1F	 LongPosIncreased	 3126	 mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 LongPosNettedPartly	 472	 1372
mir66PfT6bsgzctduqVKoPWPHFGywA3gNn	 OpenLongPosition	 472	 mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 LongPosNetted	 0	 472
mir66PfT6bsgzctduqVKoPWPHFGywA3gNn	 LongPosIncreased	 2441	 mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 OpenShortPosition	 1969	 1969
mkHbWLBYqYbFH5tZKsBa5svbwEWGsAAS71	 OpenLongPosition	 113	 mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 ShortPosIncreased	 2082	 113
mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 ShortPosNetted	 0	 n4ckXyowqABNzVLDhnXeBrm1C1qzLRejRN	 LongPosNettedPartly	 1232	 1232
mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 OpenLongPosition	 1231	 n4ckXyowqABNzVLDhnXeBrm1C1qzLRejRN	 LongPosNettedPartly	 1	 1231
msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 ShortPosNettedPartly	 3092	 n4ckXyowqABNzVLDhnXeBrm1C1qzLRejRN	 LongPosNetted	 0	 1
msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 ShortPosNettedPartly	 1291	 n4ckXyowqABNzVLDhnXeBrm1C1qzLRejRN	 OpenShortPosition	 1801	 1801
mqpDh7KXwaHVHqJwFUj2ytLJLJuwf29zQV	 LongPosIncreased	 1166	 n4ckXyowqABNzVLDhnXeBrm1C1qzLRejRN	 ShortPosIncreased	 2659	 858
mqpDh7KXwaHVHqJwFUj2ytLJLJuwf29zQV	 LongPosIncreased	 4097	 n2PZoXhtyzDtMNLZ9D767QN2dCPooBUkVk	 OpenShortPosition	 2931	 2931
mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 ShortPosNetted	 0	 mtsD9j1inqvvEKtxbyfUiGUiESyatPsYbq	 OpenShortPosition	 1981	 1981
mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 OpenLongPosition	 1331	 mtsD9j1inqvvEKtxbyfUiGUiESyatPsYbq	 ShortPosIncreased	 3312	 1331
mqpDh7KXwaHVHqJwFUj2ytLJLJuwf29zQV	 LongPosIncreased	 4621	 n3DWR6tVJMpAvGPpxmv4uS33SG3smrcbUq	 OpenShortPosition	 524	 524
n1KVwWYuDy5eni4eqqVhXHS4hWYHsxrh2X	 ShortPosNettedPartly	 1526	 n3DWR6tVJMpAvGPpxmv4uS33SG3smrcbUq	 ShortPosIncreased	 1088	 564
mkHbWLBYqYbFH5tZKsBa5svbwEWGsAAS71	 LongPosIncreased	 886	 n3n7ZfuA1nHJyNwTRWaYgNQNHgNT7Qa8g9	 LongPosNettedPartly	 3411	 773
n1KVwWYuDy5eni4eqqVhXHS4hWYHsxrh2X	 ShortPosNettedPartly	 640	 mkHbWLBYqYbFH5tZKsBa5svbwEWGsAAS71	 LongPosNetted	 0	 886
n1KVwWYuDy5eni4eqqVhXHS4hWYHsxrh2X	 ShortPosNettedPartly	 189	 mkHbWLBYqYbFH5tZKsBa5svbwEWGsAAS71	 OpenShortPosition	 451	 451
mkf51QwBeFU9E3WMTCtrbSPgoQqodSLDgx	 ShortPosNettedPartly	 48	 mvkhXPD4Cr2MXsLr6cKNHVU8Vr2RPaPNDE	 OpenShortPosition	 1227	 1227
n4EUCWzRBrCjSrQTs5FFnQbapCG88PubFG	 ShortPosNetted	 0	 mvkhXPD4Cr2MXsLr6cKNHVU8Vr2RPaPNDE	 ShortPosIncreased	 2777	 1550
n4EUCWzRBrCjSrQTs5FFnQbapCG88PubFG	 OpenLongPosition	 1466	 mvkhXPD4Cr2MXsLr6cKNHVU8Vr2RPaPNDE	 ShortPosIncreased	 4243	 1466
mojBPxTYUcVrxGBXRSr3EMec3xbiWZCDxL	 LongPosIncreased	 3191	 miak8Yh4s2Sf8ZcWHxtXpMfbeGeYR17yai	 OpenShortPosition	 750	 750
mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 LongPosIncreased	 1536	 miak8Yh4s2Sf8ZcWHxtXpMfbeGeYR17yai	 ShortPosIncreased	 955	 205
murBR8zMEbrqqhQKcw2J8hkyH2ubGNHDK2	 ShortPosNettedPartly	 665	 miak8Yh4s2Sf8ZcWHxtXpMfbeGeYR17yai	 ShortPosIncreased	 1296	 341
n2PZoXhtyzDtMNLZ9D767QN2dCPooBUkVk	 ShortPosNettedPartly	 2720	 miak8Yh4s2Sf8ZcWHxtXpMfbeGeYR17yai	 ShortPosIncreased	 1507	 211
n2PZoXhtyzDtMNLZ9D767QN2dCPooBUkVk	 ShortPosNettedPartly	 1658	 mk9ygbqHpxnW7rBy7pzN77Wqv6NF99khrs	 OpenShortPosition	 1062	 1062
mtREqvJVxLvyp7LGyUy5Xgo4GNtNdqhQp3	 ShortPosNettedPartly	 404	 mvUGA9NM33cAXsy73mjN18w8G4C6Q5brCq	 OpenShortPosition	 669	 669
mgEujLeWD2yg7zexRqDyhhTqvoMj5nMCBN	 ShortPosNettedPartly	 161	 mvUGA9NM33cAXsy73mjN18w8G4C6Q5brCq	 ShortPosIncreased	 2695	 2026
n4EUCWzRBrCjSrQTs5FFnQbapCG88PubFG	 LongPosIncreased	 2307	 miPXuhyYpsbdjYM4fADwi27ygmj47JsRvU	 OpenShortPosition	 841	 841
mgEujLeWD2yg7zexRqDyhhTqvoMj5nMCBN	 ShortPosNetted	 0	 miPXuhyYpsbdjYM4fADwi27ygmj47JsRvU	 ShortPosIncreased	 1002	 161
mgEujLeWD2yg7zexRqDyhhTqvoMj5nMCBN	 OpenLongPosition	 326	 miPXuhyYpsbdjYM4fADwi27ygmj47JsRvU	 ShortPosIncreased	 1328	 326
mxcreWoZsfQzdNf8UYAN5zBYQq3ApYoHKu	 LongPosNetted	 0	 mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 LongPosIncreased	 1587	 901
mxcreWoZsfQzdNf8UYAN5zBYQq3ApYoHKu	 OpenShortPosition	 757	 mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 LongPosIncreased	 2344	 757
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 LongPosNettedPartly	 2149	 mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 LongPosIncreased	 2691	 347
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 LongPosNettedPartly	 1892	 mjq2gyoG5tK9quxpkqGnzaTbDXmpWQkJ4H	 ShortPosNettedPartly	 4065	 257
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 LongPosNetted	 0	 n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 ShortPosNettedPartly	 316	 316
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 OpenShortPosition	 316	 n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 ShortPosNetted	 0	 316
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 ShortPosIncreased	 1023	 n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 OpenLongPosition	 707	 707
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 ShortPosIncreased	 1197	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 ShortPosNettedPartly	 4124	 174
mtREqvJVxLvyp7LGyUy5Xgo4GNtNdqhQp3	 ShortPosIncreased	 442	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 ShortPosNettedPartly	 4086	 38
myP5yp4sbZMZQHRnBQcicnKESjJaJ21FDK	 LongPosNettedPartly	 886	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 ShortPosNetted	 0	 0
myP5yp4sbZMZQHRnBQcicnKESjJaJ21FDK	 LongPosNettedPartly	 545	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 OpenLongPosition	 341	 341
mrVT36z7mGoLc4irE89x13zwEZzymixGwt	 OpenShortPosition	 110	 n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 LongPosIncreased	 451	 110
mrVT36z7mGoLc4irE89x13zwEZzymixGwt	 ShortPosIncreased	 882	 mvqMhEMRqWMHE3UtRbtoRrrkaAJp1EueTM	 ShortPosNettedPartly	 3113	 772
mrVT36z7mGoLc4irE89x13zwEZzymixGwt	 ShortPosIncreased	 1928	 myPWgKxEtLzZ8TMFPuECWvdw5MwmnoRmTw	 ShortPosNetted	 0	 1046
mrVT36z7mGoLc4irE89x13zwEZzymixGwt	 ShortPosIncreased	 2654	 myPWgKxEtLzZ8TMFPuECWvdw5MwmnoRmTw	 OpenLongPosition	 726	 726
mrVT36z7mGoLc4irE89x13zwEZzymixGwt	 ShortPosIncreased	 3171	 mwFdTzzPepbJn8QZde1MqE8ZFBYVrhEehS	 ShortPosNettedPartly	 43	 517
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 LongPosNettedPartly	 775	 mwFdTzzPepbJn8QZde1MqE8ZFBYVrhEehS	 ShortPosNetted	 0	 43
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 LongPosNetted	 0	 mwFdTzzPepbJn8QZde1MqE8ZFBYVrhEehS	 OpenLongPosition	 775	 775
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 OpenShortPosition	 484	 mwFdTzzPepbJn8QZde1MqE8ZFBYVrhEehS	 LongPosIncreased	 1259	 484
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 ShortPosIncreased	 823	 msYoosUUomA2khPGerSJwzqTxAEwLy8ry1	 LongPosIncreased	 368	 339
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 ShortPosIncreased	 1233	 mqpDh7KXwaHVHqJwFUj2ytLJLJuwf29zQV	 LongPosIncreased	 5031	 410
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 ShortPosIncreased	 2158	 mtQoU2a1dXhNVSeoRj1dsB3cm9EHc6aQ7m	 LongPosIncreased	 4726	 925
mh443vZ6aZZqurxrArnTdSgKLLcJGWHoHT	 ShortPosIncreased	 2608	 mwRFvxeUogL8tDD1SwQAtkUMiUkw4STyAr	 LongPosIncreased	 1103	 450
n2AF2enyGM95HuM7k56N6JFxQzMWb2w76V	 LongPosNettedPartly	 3450	 mwRFvxeUogL8tDD1SwQAtkUMiUkw4STyAr	 LongPosIncreased	 2730	 1627
n2AF2enyGM95HuM7k56N6JFxQzMWb2w76V	 LongPosNettedPartly	 1683	 mtWkpjk91HbFs78t6wxqJXkn5b2U93CVZd	 LongPosIncreased	 2705	 1767
n2AF2enyGM95HuM7k56N6JFxQzMWb2w76V	 LongPosNettedPartly	 392	 msseTTv6B3XTdLecB26sreJAUF93REF19f	 ShortPosNettedPartly	 2126	 1291
msSAUmbSwu7wxQ7icEqj9YqLKUZgnJSLkC	 LongPosNettedPartly	 270	 msseTTv6B3XTdLecB26sreJAUF93REF19f	 ShortPosNettedPartly	 1273	 853
mgBrVNmXqrk9HTYAPZJVMVnCD6k4ATicDn	 LongPosNettedPartly	 2771	 n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 LongPosIncreased	 2404	 793
mpDyQTaaE9zFBTGUWQ4EPcCftBv2twh7zc	 OpenShortPosition	 203	 n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 LongPosIncreased	 2607	 203
n3ngHLaGiGTjiD7JhpDi56agn9qqoTM2yo	 LongPosNetted	 0	 n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 LongPosIncreased	 3327	 720
n3ngHLaGiGTjiD7JhpDi56agn9qqoTM2yo	 OpenShortPosition	 2573	 n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 LongPosIncreased	 5900	 2573
n3ngHLaGiGTjiD7JhpDi56agn9qqoTM2yo	 ShortPosIncreased	 3102	 mqMGdFenqRumyYSrERRvZG6naWZZjyaz1a	 ShortPosNetted	 0	 529
n3ngHLaGiGTjiD7JhpDi56agn9qqoTM2yo	 ShortPosIncreased	 4020	 mqMGdFenqRumyYSrERRvZG6naWZZjyaz1a	 OpenLongPosition	 918	 918
n3ngHLaGiGTjiD7JhpDi56agn9qqoTM2yo	 ShortPosIncreased	 4208	 msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 ShortPosNettedPartly	 1103	 188
mvtGTZ2nSNBFdrfJKwtLuXdWs5T5hc9jip	 LongPosNetted	 0	 msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 ShortPosNettedPartly	 179	 179
mvtGTZ2nSNBFdrfJKwtLuXdWs5T5hc9jip	 OpenShortPosition	 179	 msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 ShortPosNetted	 0	 179
mvtGTZ2nSNBFdrfJKwtLuXdWs5T5hc9jip	 ShortPosIncreased	 1422	 msL7nY77MMjpaYbNr3iiJTRKEnkiUAne3E	 OpenLongPosition	 1243	 1243
mkdJT18C2DoVZwk6JfBr1d7N3ZjNp1ofRu	 OpenShortPosition	 2865	 mrV8GuDs12Xrd9Vdt5o4Bz39Scv7XLy2iU	 LongPosIncreased	 5951	 2865
mkdJT18C2DoVZwk6JfBr1d7N3ZjNp1ofRu	 ShortPosIncreased	 3777	 mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 ShortPosNettedPartly	 889	 912
mqAirsZY515SGRvPbgSGiRJdXKdLPzJKHQ	 OpenShortPosition	 889	 mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 ShortPosNetted	 0	 889
mqAirsZY515SGRvPbgSGiRJdXKdLPzJKHQ	 ShortPosIncreased	 2145	 mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 OpenLongPosition	 1256	 1256
mkHbWLBYqYbFH5tZKsBa5svbwEWGsAAS71	 ShortPosIncreased	 983	 mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 LongPosIncreased	 1788	 532
mkHbWLBYqYbFH5tZKsBa5svbwEWGsAAS71	 ShortPosIncreased	 1712	 mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 ShortPosNettedPartly	 1353	 729
mjp5eKsNdsbYmA1WnL3KSiXfd8dGZArdpM	 OpenShortPosition	 1353	 mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 ShortPosNetted	 0	 1353
mjp5eKsNdsbYmA1WnL3KSiXfd8dGZArdpM	 ShortPosIncreased	 2772	 mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 OpenLongPosition	 1419	 1419
mjp5eKsNdsbYmA1WnL3KSiXfd8dGZArdpM	 ShortPosIncreased	 3358	 mvkhXPD4Cr2MXsLr6cKNHVU8Vr2RPaPNDE	 ShortPosNettedPartly	 3657	 586
n2DeiRj2GQCCwJrApERrjNZ355SiQoFrzn	 OpenShortPosition	 3041	 mvkhXPD4Cr2MXsLr6cKNHVU8Vr2RPaPNDE	 ShortPosNettedPartly	 616	 3041
mxPNxQNAZMqyHiho61tWbryAwHszmDZXRS	 OpenShortPosition	 95	 mvkhXPD4Cr2MXsLr6cKNHVU8Vr2RPaPNDE	 ShortPosNettedPartly	 521	 95
mxPNxQNAZMqyHiho61tWbryAwHszmDZXRS	 ShortPosIncreased	 2372	 mwyFzQbWotFc7p94651veFgA47uYGTYz13	 OpenLongPosition	 2277	 2277
mjnYTeZLSyZKES52jWSn4Ln84FaSC8w3X3	 OpenShortPosition	 1856	 mwyFzQbWotFc7p94651veFgA47uYGTYz13	 LongPosIncreased	 4133	 1856
mjnYTeZLSyZKES52jWSn4Ln84FaSC8w3X3	 ShortPosIncreased	 3595	 mqSbmqBWkzv3fkyACaNiE5CJbJckuCs42h	 OpenLongPosition	 1739	 1739
n3U2fW3JQwDAGz1sqhEQBabBaQAvesFVgk	 OpenShortPosition	 793	 mqSbmqBWkzv3fkyACaNiE5CJbJckuCs42h	 LongPosIncreased	 2532	 793
mrL3jhdgTLEXMHhkZcfzB1evYQnwwaZ2ue	 OpenShortPosition	 953	 mqSbmqBWkzv3fkyACaNiE5CJbJckuCs42h	 LongPosIncreased	 3485	 953
mjFwFKZB7B2qCxuACvaTi8nNGTmsF6Ycum	 OpenShortPosition	 129	 mqSbmqBWkzv3fkyACaNiE5CJbJckuCs42h	 LongPosIncreased	 3614	 129
