mu7AcybU4tqB7gZHNuPtXujfJDZ7uUiMeu	 OpenLongPosition	 1048	 n4EUCWzRBrCjSrQTs5FFnQbapCG88PubFG	 ShortPosIncreased	 1709	 1048
mkf51QwBeFU9E3WMTCtrbSPgoQqodSLDgx	 OpenLongPosition	 146	 n4EUCWzRBrCjSrQTs5FFnQbapCG88PubFG	 ShortPosIncreased	 1855	 146
mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 ShortPosNettedPartly	 189	 mtMM8voZ2nq8rH6HDHQ69bKPFHrjCHTSVg	 LongPosNetted	 0	 1296
mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 ShortPosNetted	 0	 mtMM8voZ2nq8rH6HDHQ69bKPFHrjCHTSVg	 OpenShortPosition	 189	 189
mmoUrs9ARfwaTY869xjhhVs8wePg58kVJb	 OpenLongPosition	 686	 mtMM8voZ2nq8rH6HDHQ69bKPFHrjCHTSVg	 ShortPosIncreased	 875	 686
muFfzrAb3FyJHy4gQBi7UYM2bkh7P4vsNB	 OpenLongPosition	 2070	 mtMM8voZ2nq8rH6HDHQ69bKPFHrjCHTSVg	 ShortPosIncreased	 2945	 2070
mthr88tCUByWNrrGiV5vxfWMYXvQHuB3kA	 LongPosIncreased	 2793	 mkf51QwBeFU9E3WMTCtrbSPgoQqodSLDgx	 LongPosNetted	 0	 146
mthr88tCUByWNrrGiV5vxfWMYXvQHuB3kA	 LongPosIncreased	 3189	 mkf51QwBeFU9E3WMTCtrbSPgoQqodSLDgx	 OpenShortPosition	 396	 396
mkmCFnFx8BeN1WdAYNaeskmdsiVwohpiFr	 OpenLongPosition	 2361	 mkf51QwBeFU9E3WMTCtrbSPgoQqodSLDgx	 ShortPosIncreased	 2757	 2361
mpsYcdMQKtM9bNJbHVfijVJf1xWCxeBGmT	 OpenLongPosition	 3027	 msZCSGUc1u35roT5BbfvRuUT2r9SUZDxpq	 OpenShortPosition	 3027	 3027
muFfzrAb3FyJHy4gQBi7UYM2bkh7P4vsNB	 LongPosIncreased	 2676	 n1KVwWYuDy5eni4eqqVhXHS4hWYHsxrh2X	 OpenShortPosition	 606	 606
mwRFvxeUogL8tDD1SwQAtkUMiUkw4STyAr	 OpenLongPosition	 1484	 n1KVwWYuDy5eni4eqqVhXHS4hWYHsxrh2X	 ShortPosIncreased	 2090	 1484
mtWkpjk91HbFs78t6wxqJXkn5b2U93CVZd	 LongPosIncreased	 3262	 mkJMWtTuYRTLc9gHT65BonwaQLLEVSjrv4	 OpenShortPosition	 152	 152
msSAUmbSwu7wxQ7icEqj9YqLKUZgnJSLkC	 OpenLongPosition	 1123	 mkJMWtTuYRTLc9gHT65BonwaQLLEVSjrv4	 ShortPosIncreased	 1275	 1123
n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 ShortPosNettedPartly	 2313	 mkJMWtTuYRTLc9gHT65BonwaQLLEVSjrv4	 ShortPosIncreased	 3622	 2347
mojBPxTYUcVrxGBXRSr3EMec3xbiWZCDxL	 OpenLongPosition	 3482	 mpsFYBrsLYahQ31CapufQiAva8WnZZfceE	 OpenShortPosition	 3482	 3482
n3D2EmDNaVyeJbfGvdjPLuyaa7GPmsUNd4	 ShortPosNettedPartly	 2208	 mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 OpenShortPosition	 105	 105
n4ERmUhge6XKtvctXYvtiswPgSdQqwdeVC	 ShortPosNettedPartly	 4298	 mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 ShortPosIncreased	 739	 634
n2AF2enyGM95HuM7k56N6JFxQzMWb2w76V	 OpenLongPosition	 2704	 mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 ShortPosIncreased	 3443	 2704
mojBPxTYUcVrxGBXRSr3EMec3xbiWZCDxL	 LongPosIncreased	 4142	 msYoosUUomA2khPGerSJwzqTxAEwLy8ry1	 OpenShortPosition	 660	 660
mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 OpenLongPosition	 1719	 mh7hp9eHg6rw11pqbLidGaUZ6f2Lv85C9w	 OpenShortPosition	 1719	 1719
mpsYcdMQKtM9bNJbHVfijVJf1xWCxeBGmT	 LongPosIncreased	 3968	 ms3tUm3TWTuR6uMchmjuyJVN9V6bjstmFh	 OpenShortPosition	 941	 941
mxcreWoZsfQzdNf8UYAN5zBYQq3ApYoHKu	 OpenLongPosition	 901	 mpsYcdMQKtM9bNJbHVfijVJf1xWCxeBGmT	 LongPosNettedPartly	 3067	 901
mpqNzLhjtCTepYabixP7CcD7hwFMbkzmU4	 OpenLongPosition	 747	 mpsYcdMQKtM9bNJbHVfijVJf1xWCxeBGmT	 LongPosNettedPartly	 2320	 747
mrYQDTToiCRN4XpZReibd1zb1uyKiAMgSH	 OpenLongPosition	 3189	 mthr88tCUByWNrrGiV5vxfWMYXvQHuB3kA	 LongPosNetted	 0	 3189
mrYQDTToiCRN4XpZReibd1zb1uyKiAMgSH	 LongPosIncreased	 3753	 mthr88tCUByWNrrGiV5vxfWMYXvQHuB3kA	 OpenShortPosition	 564	 564
mpsYcdMQKtM9bNJbHVfijVJf1xWCxeBGmT	 LongPosIncreased	 2358	 myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 OpenShortPosition	 38	 38
mkf51QwBeFU9E3WMTCtrbSPgoQqodSLDgx	 ShortPosNettedPartly	 2522	 mqpDh7KXwaHVHqJwFUj2ytLJLJuwf29zQV	 OpenShortPosition	 235	 235
mwRFvxeUogL8tDD1SwQAtkUMiUkw4STyAr	 LongPosIncreased	 1931	 mtQoU2a1dXhNVSeoRj1dsB3cm9EHc6aQ7m	 OpenShortPosition	 447	 447
n2AF2enyGM95HuM7k56N6JFxQzMWb2w76V	 LongPosIncreased	 3982	 mwRFvxeUogL8tDD1SwQAtkUMiUkw4STyAr	 LongPosNettedPartly	 653	 1278
mpjy86G1Zo3D8RtuFKrYqu8UgmMevcSwTh	 ShortPosNetted	 0	 mtWkpjk91HbFs78t6wxqJXkn5b2U93CVZd	 LongPosNettedPartly	 1993	 1993
mpjy86G1Zo3D8RtuFKrYqu8UgmMevcSwTh	 OpenLongPosition	 1055	 mtWkpjk91HbFs78t6wxqJXkn5b2U93CVZd	 LongPosNettedPartly	 938	 1055
n3n7ZfuA1nHJyNwTRWaYgNQNHgNT7Qa8g9	 LongPosIncreased	 3669	 msseTTv6B3XTdLecB26sreJAUF93REF19f	 LongPosNetted	 0	 1542
n3n7ZfuA1nHJyNwTRWaYgNQNHgNT7Qa8g9	 LongPosIncreased	 4184	 msseTTv6B3XTdLecB26sreJAUF93REF19f	 OpenShortPosition	 515	 515
myP5yp4sbZMZQHRnBQcicnKESjJaJ21FDK	 OpenLongPosition	 2902	 msseTTv6B3XTdLecB26sreJAUF93REF19f	 ShortPosIncreased	 3417	 2902
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 ShortPosNetted	 0	 n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 OpenShortPosition	 38	 38
myMDfYhWKcyisnmbGMr1DbMPfLApVbTpDo	 OpenLongPosition	 871	 n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 ShortPosIncreased	 909	 871
