n27KbHvy2pcvwWK4q16HKD5RfENc8PAmen	 OpenShortPosition	 600000000	 miu6LPczdJPrCYkXPAiFpXBW7ShabU2H9p	 LongPosIncreased	 2200000000	 600000000
n27KbHvy2pcvwWK4q16HKD5RfENc8PAmen	 ShortPosIncreased	 2400000000	 mse4wM71xwkz9yAvzvPJZ4FHQEbC4MsjoK	 OpenLongPosition	 1800000000	 1800000000
n27KbHvy2pcvwWK4q16HKD5RfENc8PAmen	 ShortPosIncreased	 7900000000	 n1BiFoyEDjhDjhRDDzP8LwgNMvZrz9JgmY	 OpenLongPosition	 5500000000	 5500000000
n27KbHvy2pcvwWK4q16HKD5RfENc8PAmen	 ShortPosIncreased	 8000000000	 mjrXATzbNse1hq4EzyNZoQ8WBzFkqUN2FN	 OpenLongPosition	 100000000	 100000000
n1cYB6L8Ns1WnGRtYxjorVaefvbYeiLXhs	 ShortPosIncreased	 6600000000	 mjrXATzbNse1hq4EzyNZoQ8WBzFkqUN2FN	 LongPosIncreased	 1300000000	 1200000000
mpWd6c84SL6hXum6kFuZkAn5a91GngXuZN	 OpenShortPosition	 200000000	 mjrXATzbNse1hq4EzyNZoQ8WBzFkqUN2FN	 LongPosIncreased	 1500000000	 200000000
mpWd6c84SL6hXum6kFuZkAn5a91GngXuZN	 ShortPosIncreased	 6600000000	 mv6yh3P7EJoT564vGJSanfbgeEqspTpxnp	 OpenLongPosition	 6400000000	 6400000000
n3RS866VUWu4SZCQpv6R393rjXaPgzYczR	 OpenLongPosition	 400000000	 mpS9T98MhyeziiPQGkYZXktUBnPvNqrHGN	 OpenShortPosition	 400000000	 400000000
mpS9T98MhyeziiPQGkYZXktUBnPvNqrHGN	 ShortPosIncreased	 1600000000	 mv1e3xQibtC7WwT9W3nYHsoNaztg77ckP1	 OpenLongPosition	 1200000000	 1200000000
mpS9T98MhyeziiPQGkYZXktUBnPvNqrHGN	 ShortPosIncreased	 5000000000	 mubeze4dfVbqfB7G44g1QQ8V5Gt2hy4TgL	 OpenLongPosition	 3400000000	 3400000000
mpWd6c84SL6hXum6kFuZkAn5a91GngXuZN	 ShortPosIncreased	 6700000000	 mubeze4dfVbqfB7G44g1QQ8V5Gt2hy4TgL	 LongPosIncreased	 3500000000	 100000000
n1Gp4EcV43fhBqLE9bbhYxApcS392hzFPC	 OpenShortPosition	 1300000000	 mubeze4dfVbqfB7G44g1QQ8V5Gt2hy4TgL	 LongPosIncreased	 4800000000	 1300000000
n1Gp4EcV43fhBqLE9bbhYxApcS392hzFPC	 ShortPosIncreased	 1400000000	 n342mUnCv9PE5XVgWSjWUMP6V27KohuHYH	 OpenLongPosition	 100000000	 100000000
mjuaRLRLmP1amGpD116csLMQi6VfhfE9ev	 OpenShortPosition	 6500000000	 n342mUnCv9PE5XVgWSjWUMP6V27KohuHYH	 LongPosIncreased	 6600000000	 6500000000
n3Y5NfXAVQG2wdzBShkmpLWErwz8ZpDduG	 OpenShortPosition	 2400000000	 n342mUnCv9PE5XVgWSjWUMP6V27KohuHYH	 LongPosIncreased	 9000000000	 2400000000
n3Y5NfXAVQG2wdzBShkmpLWErwz8ZpDduG	 ShortPosIncreased	 7900000000	 mkJoqGXBAHvtw7aK6gmasAojXH6rrnfS2H	 OpenLongPosition	 5500000000	 5500000000
mnMada7EHtnqvzuUvUezkPFWGCWkWVwyWf	 OpenShortPosition	 2500000000	 n4hW71rGFgjbJwGQioQsiRYQsWLrA5f85E	 OpenLongPosition	 2500000000	 2500000000
mnMada7EHtnqvzuUvUezkPFWGCWkWVwyWf	 ShortPosIncreased	 3100000000	 miHfo3omH4Xx7evAZpA8NLqJs7xGZvLmtz	 OpenLongPosition	 600000000	 600000000
mzPqPS552DLoZfPeYctTwu2xXf54KS8FAM	 OpenShortPosition	 1300000000	 n44m64rfjYfnXRMufqMK4Wh1SJujLN5yNE	 OpenLongPosition	 1300000000	 1300000000
mzPqPS552DLoZfPeYctTwu2xXf54KS8FAM	 ShortPosIncreased	 3600000000	 mzYx4j4rNTLboME6xSvxXaqxVGBPQnzhfG	 OpenLongPosition	 2300000000	 2300000000
mzPqPS552DLoZfPeYctTwu2xXf54KS8FAM	 ShortPosIncreased	 6800000000	 mvHhwDYBpzFyNU72B9HfTQV2Poj63oR7iU	 OpenLongPosition	 3200000000	 3200000000
mnMada7EHtnqvzuUvUezkPFWGCWkWVwyWf	 ShortPosIncreased	 4200000000	 mvHhwDYBpzFyNU72B9HfTQV2Poj63oR7iU	 LongPosIncreased	 4300000000	 1100000000
mgiZEibSsxmSGDjLLgdSpbZs7eWdjRSixJ	 OpenShortPosition	 5000000000	 miLtS8DhzjfvGq7ZaEyiBi8SaThH4ZYPZ9	 OpenLongPosition	 5000000000	 5000000000
mgiZEibSsxmSGDjLLgdSpbZs7eWdjRSixJ	 ShortPosIncreased	 5300000000	 mqYx6EhhtmFvZYwoEBFL13rMboECprw21g	 OpenLongPosition	 300000000	 300000000
n1U3ieNQwCDFxLyVrds1SSQdsjcnNnwysa	 LongPosIncreased	 4500000000	 mty9xiuugC2sz8RemnXg2odvaD7j4Xsi8D	 OpenShortPosition	 200000000	 200000000
mhokndkUcg71qCsfLQPap9a9x7KpbiB38T	 OpenLongPosition	 1600000000	 moJcmYdq828pCP3xEqsPsevXbQKP1U7yPo	 OpenShortPosition	 1600000000	 1600000000
myicLeia9D8uwhKbFofFY6V6WkAEyumXyv	 OpenLongPosition	 7300000000	 moJcmYdq828pCP3xEqsPsevXbQKP1U7yPo	 ShortPosIncreased	 8900000000	 7300000000
n1U3ieNQwCDFxLyVrds1SSQdsjcnNnwysa	 LongPosIncreased	 8400000000	 my6vjDUwzMCFngPLRFwDpp8zFfbeED7rLL	 OpenShortPosition	 3900000000	 3900000000
n4hZFXeNcHvAbkrmxLMPaLrJvmGyDUzcSd	 OpenLongPosition	 2500000000	 my6vjDUwzMCFngPLRFwDpp8zFfbeED7rLL	 ShortPosIncreased	 6400000000	 2500000000
mgiZEibSsxmSGDjLLgdSpbZs7eWdjRSixJ	 ShortPosIncreased	 10000000000	 mnqA1t2Um8jNKwf1wB5E8cVx4GLBxtY1ji	 OpenLongPosition	 4700000000	 4700000000
mqkTxiGnNwyQYugBjHp37V6Xw4PVTrTj25	 OpenShortPosition	 3200000000	 mnqA1t2Um8jNKwf1wB5E8cVx4GLBxtY1ji	 LongPosIncreased	 7900000000	 3200000000
n4hZFXeNcHvAbkrmxLMPaLrJvmGyDUzcSd	 LongPosIncreased	 2800000000	 mzuTmRVWt7jgbZEPDptR3NLG54fYU4WAWh	 OpenShortPosition	 300000000	 300000000
mmcJNxPECVBeNX3iycKPCG9oNZvz24BtM6	 OpenLongPosition	 5200000000	 mzuTmRVWt7jgbZEPDptR3NLG54fYU4WAWh	 ShortPosIncreased	 5500000000	 5200000000
mqkTxiGnNwyQYugBjHp37V6Xw4PVTrTj25	 ShortPosIncreased	 3500000000	 ms8mZ8ZFpH2d5yibGzqU5V42w4Qb9XLGc2	 OpenLongPosition	 300000000	 300000000
mnMada7EHtnqvzuUvUezkPFWGCWkWVwyWf	 ShortPosIncreased	 4900000000	 mr6RnwfXeBNgoPcfNw1idLSovqxtvV6AXF	 OpenLongPosition	 700000000	 700000000
ms8mZ8ZFpH2d5yibGzqU5V42w4Qb9XLGc2	 LongPosIncreased	 1900000000	 miacrf5VrVrMP9X4SPJ94QuNBzGmaB5fcT	 ShortPosIncreased	 3600000000	 1600000000
mmcJNxPECVBeNX3iycKPCG9oNZvz24BtM6	 LongPosIncreased	 6200000000	 n1y4ZsoXSRTvmAV2J5GR4eDH5FD9v6jyaN	 LongPosNettedPartly	 3100000000	 1000000000
mkPTVcDMmQV6zFGYaEeSEd4CrdsWeX6uw6	 OpenLongPosition	 600000000	 n1y4ZsoXSRTvmAV2J5GR4eDH5FD9v6jyaN	 LongPosNettedPartly	 2500000000	 600000000
myicLeia9D8uwhKbFofFY6V6WkAEyumXyv	 LongPosIncreased	 8500000000	 mgQcwYyKsQejL1fjNaRxshfJgL1mG1ZYtx	 ShortPosIncreased	 8200000000	 1200000000
mpohXfUDtXnmhXWRUBuxvVH6fbQwd37Fd1	 OpenLongPosition	 1000000000	 mgQcwYyKsQejL1fjNaRxshfJgL1mG1ZYtx	 ShortPosIncreased	 9200000000	 1000000000
n4rWbubsYK5iHEy3TXxPbVa1dQqCJe7iX6	 OpenLongPosition	 5600000000	 mjDsaUmLtSkLVKbjVMwvzqAP941bwgiA1J	 OpenShortPosByLongPosNetted	 5000000000	 5600000000
n2pZQiuaPJJxff3SRaL8jZgYtyeCvPyBL9	 OpenLongPosition	 3400000000	 mjDsaUmLtSkLVKbjVMwvzqAP941bwgiA1J	 ShortPosIncreased	 8400000000	 3400000000
n2pZQiuaPJJxff3SRaL8jZgYtyeCvPyBL9	 LongPosIncreased	 3600000000	 mgMqCzb8zouprHkRGphVjiQDYnnapcaUbk	 LongPosNettedPartly	 6200000000	 200000000
mhtnBNxuRr5Nc8WaXzGSQEeHHgYW7fnRFa	 LongPosIncreased	 5200000000	 mgMqCzb8zouprHkRGphVjiQDYnnapcaUbk	 LongPosNettedPartly	 1200000000	 5000000000
mhtnBNxuRr5Nc8WaXzGSQEeHHgYW7fnRFa	 LongPosIncreased	 8400000000	 msymfjbQ7S9TZkXhuaiY42YBct2p9jmBRw	 LongPosNettedPartly	 5600000000	 3200000000
mpohXfUDtXnmhXWRUBuxvVH6fbQwd37Fd1	 LongPosIncreased	 2500000000	 muLnjQwGH6avy2v1nBsvCPoqhzZUSegLep	 ShortPosIncreased	 10200000000	 1500000000
mhtnBNxuRr5Nc8WaXzGSQEeHHgYW7fnRFa	 LongPosIncreased	 9600000000	 mgtiA4HGnncUCC86Z5RQtnKHRjj7SzhrLo	 ShortPosIncreased	 10200000000	 1200000000
ms5JzrzcSC44U33xJMca2eqpEotDuqtFM5	 LongPosIncreased	 2800000000	 mgtiA4HGnncUCC86Z5RQtnKHRjj7SzhrLo	 ShortPosIncreased	 12800000000	 2600000000
mpohXfUDtXnmhXWRUBuxvVH6fbQwd37Fd1	 LongPosIncreased	 5600000000	 ms3gyYvFA6hg3FcMSUzjqBQYwKyWDwGvkL	 OpenShortPosition	 3100000000	 3100000000
mkPTVcDMmQV6zFGYaEeSEd4CrdsWeX6uw6	 LongPosIncreased	 1400000000	 ms3gyYvFA6hg3FcMSUzjqBQYwKyWDwGvkL	 ShortPosIncreased	 3900000000	 800000000
mkPTVcDMmQV6zFGYaEeSEd4CrdsWeX6uw6	 LongPosIncreased	 2900000000	 mx7A4jmp8qNFDHFFq33udvzLWU9FrLAbBL	 LongPosNettedPartly	 5200000000	 1500000000
ms8mZ8ZFpH2d5yibGzqU5V42w4Qb9XLGc2	 LongPosIncreased	 5300000000	 mpJQwi1ua4uqDjqaarZLKHXDYxsxKTCtCQ	 OpenShortPosition	 3400000000	 3400000000
mqyXByDK4a4SpoN893AJ5MMpn3UKFTjBsN	 OpenLongPosition	 600000000	 mpJQwi1ua4uqDjqaarZLKHXDYxsxKTCtCQ	 ShortPosIncreased	 4000000000	 600000000
mkKqgXgT7zAJ74QL6bKYpyvPZCkHefqv63	 OpenLongPosition	 2900000000	 mpJQwi1ua4uqDjqaarZLKHXDYxsxKTCtCQ	 ShortPosIncreased	 6900000000	 2900000000
mkNAKqBSpYDCGUXj6bTLmFNJoGBfaDwVGT	 OpenLongPosByShortPosNetted	 900000000	 mpJQwi1ua4uqDjqaarZLKHXDYxsxKTCtCQ	 ShortPosIncreased	 8300000000	 1400000000
mkPTVcDMmQV6zFGYaEeSEd4CrdsWeX6uw6	 LongPosIncreased	 5800000000	 mpfb1C9d3kwJC7gvz48GhFf3FzWhTgTQ9B	 LongPosNettedPartly	 400000000	 2900000000
mwoUgNLB4Xc5QkkMyb3jvpbGP5g7nwn9S6	 OpenLongPosition	 1500000000	 mpfb1C9d3kwJC7gvz48GhFf3FzWhTgTQ9B	 OpenShortPosByLongPosNetted	 1100000000	 1500000000
mkNAKqBSpYDCGUXj6bTLmFNJoGBfaDwVGT	 LongPosIncreased	 5800000000	 mk393LYab1GSAQcc8Kh6YPtfYi4pNj2EVY	 ShortPosIncreased	 13600000000	 4900000000
mniZwaa7Nk9rrMvLbxS13DTf5T6bQ5CqK8	 OpenLongPosByShortPosNetted	 800000000	 mk393LYab1GSAQcc8Kh6YPtfYi4pNj2EVY	 ShortPosIncreased	 15800000000	 2200000000
mwoUgNLB4Xc5QkkMyb3jvpbGP5g7nwn9S6	 LongPosIncreased	 7100000000	 mv628MD6dfkBbFdpw6MFG3WNgg264xZUhQ	 ShortPosIncreased	 9100000000	 5600000000
miRaDhhn98nTaGEAZcfRnR9KavdKvTsg9y	 OpenLongPosition	 2200000000	 mv628MD6dfkBbFdpw6MFG3WNgg264xZUhQ	 ShortPosIncreased	 11300000000	 2200000000
mjk1QRRxvNPszx7Fud6ZUw2Fosp9u1342C	 OpenLongPosition	 900000000	 mhuqpfJ6RKvmrRv3YWBr9A2niwJxNTJ8yD	 LongPosNettedPartly	 4300000000	 900000000
mqcYc5TAhBpDMPw7nwhZDxXiCf9kWFp63n	 OpenLongPosition	 3300000000	 mhuqpfJ6RKvmrRv3YWBr9A2niwJxNTJ8yD	 LongPosNettedPartly	 1000000000	 3300000000
miRaDhhn98nTaGEAZcfRnR9KavdKvTsg9y	 LongPosIncreased	 4500000000	 mjuaRLRLmP1amGpD116csLMQi6VfhfE9ev	 ShortPosIncreased	 8800000000	 2300000000
mmWiMCEzXxYTR62arYmTzw1gAa1uHM1zDz	 OpenLongPosition	 500000000	 mjuaRLRLmP1amGpD116csLMQi6VfhfE9ev	 ShortPosIncreased	 9300000000	 500000000
mqcYc5TAhBpDMPw7nwhZDxXiCf9kWFp63n	 LongPosIncreased	 4700000000	 n3xyc1eu6Lh91X7yeJQiLfyEFgZibRqT1Z	 LongPosNettedPartly	 1400000000	 1400000000
n1cYB6L8Ns1WnGRtYxjorVaefvbYeiLXhs	 ShortPosNettedPartly	 2100000000	 n3xyc1eu6Lh91X7yeJQiLfyEFgZibRqT1Z	 OpenShortPosByLongPosNetted	 3100000000	 4500000000
mmWiMCEzXxYTR62arYmTzw1gAa1uHM1zDz	 LongPosIncreased	 5400000000	 n3Y5NfXAVQG2wdzBShkmpLWErwz8ZpDduG	 ShortPosIncreased	 12800000000	 4900000000
mrWu4HwTeqTGtoTPrbqTcZg4CPQHLR5xUC	 OpenLongPosition	 700000000	 n3Y5NfXAVQG2wdzBShkmpLWErwz8ZpDduG	 ShortPosIncreased	 13500000000	 700000000
n1cYB6L8Ns1WnGRtYxjorVaefvbYeiLXhs	 OpenLongPosByShortPosNetted	 2100000000	 miK13sx2YSjBix3u1AUiKguXgWp5WjXeYN	 OpenShortPosition	 4200000000	 4200000000
mrWu4HwTeqTGtoTPrbqTcZg4CPQHLR5xUC	 LongPosIncreased	 3200000000	 miK13sx2YSjBix3u1AUiKguXgWp5WjXeYN	 ShortPosIncreased	 6700000000	 2500000000
mrWu4HwTeqTGtoTPrbqTcZg4CPQHLR5xUC	 LongPosIncreased	 6000000000	 n1brhcTLmtWVK2RNm8tdCbV29mESG2kfSm	 ShortPosIncreased	 9900000000	 2800000000
moCFhYEi1BGscVkGNxNGKNQzMbYcjH9Dff	 OpenLongPosition	 5500000000	 n1brhcTLmtWVK2RNm8tdCbV29mESG2kfSm	 ShortPosIncreased	 15400000000	 5500000000
mv6fjJ1vnoMs8YqgoT5uQxvGkT9oJmKyQ3	 OpenLongPosByShortPosNetted	 5000000000	 n27KbHvy2pcvwWK4q16HKD5RfENc8PAmen	 ShortPosIncreased	 13200000000	 5200000000
moCFhYEi1BGscVkGNxNGKNQzMbYcjH9Dff	 LongPosIncreased	 7600000000	 ms9X3ATWctcor88MJncBuXM1CQTxyf7gS2	 LongPosNettedPartly	 2600000000	 2100000000
mrk8riRUGbHjnowNqN4gz3rWckee5SMhxQ	 OpenLongPosition	 1400000000	 ms9X3ATWctcor88MJncBuXM1CQTxyf7gS2	 LongPosNettedPartly	 1200000000	 1400000000
mxHQGguw8CGjEqaGz5rQyWadknk3ejUC5a	 OpenLongPosition	 5900000000	 ms9X3ATWctcor88MJncBuXM1CQTxyf7gS2	 OpenShortPosByLongPosNetted	 4700000000	 5900000000
mniZwaa7Nk9rrMvLbxS13DTf5T6bQ5CqK8	 LongPosIncreased	 5000000000	 mpWd6c84SL6hXum6kFuZkAn5a91GngXuZN	 ShortPosIncreased	 10900000000	 4200000000
mxU8dq9WmqDSvAgZ2X8xrdNvc1oQPZd6E9	 ShortPosNettedPartly	 1500000000	 myicLeia9D8uwhKbFofFY6V6WkAEyumXyv	 LongPosNettedPartly	 7900000000	 600000000
mniZwaa7Nk9rrMvLbxS13DTf5T6bQ5CqK8	 LongPosIncreased	 6000000000	 mmcJNxPECVBeNX3iycKPCG9oNZvz24BtM6	 LongPosNettedPartly	 5200000000	 1000000000
mxU8dq9WmqDSvAgZ2X8xrdNvc1oQPZd6E9	 OpenLongPosByShortPosNetted	 2400000000	 mse4wM71xwkz9yAvzvPJZ4FHQEbC4MsjoK	 OpenShortPosByLongPosNetted	 2100000000	 3900000000
n4hZFXeNcHvAbkrmxLMPaLrJvmGyDUzcSd	 LongPosIncreased	 8100000000	 mse4wM71xwkz9yAvzvPJZ4FHQEbC4MsjoK	 ShortPosIncreased	 7400000000	 5300000000
mniZwaa7Nk9rrMvLbxS13DTf5T6bQ5CqK8	 LongPosIncreased	 7900000000	 n3LreMaBqmGySqN5hjFYXQQMR9vmoBwSEk	 OpenShortPosition	 1900000000	 1900000000
mrqtcvqufCubb2iAY4gWdbSUpPsPVSUQDo	 LongPosIncreased	 4700000000	 n3LreMaBqmGySqN5hjFYXQQMR9vmoBwSEk	 ShortPosIncreased	 3000000000	 1100000000
mngDoikqpSkV3cGgdeWsC9zoM8LSTuGLqv	 LongPosIncreased	 6500000000	 n3LreMaBqmGySqN5hjFYXQQMR9vmoBwSEk	 ShortPosIncreased	 4600000000	 1600000000
n2f2HYYE2CkJHnDaYCtWYwqVb4HnfyXuxa	 OpenLongPosition	 800000000	 n3LreMaBqmGySqN5hjFYXQQMR9vmoBwSEk	 ShortPosIncreased	 5400000000	 800000000
