1,6800
2,6800
3,6800
4,6800
5,6800
6,6800
7,6800
8,6800
9,6800
10,6800
11,6801
12,6801
13,6801
14,6801
15,6800
16,6800
17,6801
18,6801
19,6801
20,6801
21,6801
22,6801
23,6801
24,6801
25,6801
26,6800
27,6800
28,6800
29,6800
30,6800
31,6800
32,6800
33,6800
34,6800
35,6800
36,6800
37,6800
38,6800
39,6799
40,6799
41,6799
42,6799
43,6799
44,6799
45,6799
46,6799
47,6799
48,6799
49,6799
50,6799
51,6799
52,6799
53,6799
54,6800
55,6800
56,6800
57,6800
58,6799
59,6799
60,6799
61,6800
62,6800
63,6800
64,6800
65,6800
66,6800
67,6800
68,6800
69,6800
70,6800
71,6799
72,6799
73,6799
74,6799
75,6799
76,6799
77,6800
78,6800
79,6800
80,6800
81,6799
82,6799
83,6799
84,6798
85,6798
86,6798
87,6798
88,6798
89,6798
90,6798
91,6798
92,6798
93,6799
94,6798
95,6798
96,6798
97,6799
98,6799
99,6799
100,6799
1,6799
2,6799
3,6799
4,6799
5,6798
6,6798
7,6798
8,6797
9,6797
10,6797
11,6797
12,6797
13,6797
14,6796
15,6796
16,6797
17,6796
18,6797
19,6797
20,6797
21,6798
22,6797
23,6797
24,6797
25,6797
26,6798
27,6797
28,6797
29,6797
30,6797
31,6797
32,6797
33,6797
34,6798
35,6798
36,6798
37,6798
38,6797
39,6797
40,6797
41,6798
42,6798
43,6798
44,6798
45,6798
46,6798
47,6799
48,6799
49,6798
50,6798
51,6799
52,6799
53,6799
54,6799
55,6799
56,6799
57,6798
58,6798
59,6798
60,6798
61,6798
62,6797
63,6798
64,6798
65,6798
66,6798
67,6798
68,6798
69,6798
70,6798
71,6799
72,6798
73,6798
74,6798
75,6798
76,6797
77,6797
78,6797
79,6797
80,6798
81,6798
82,6798
83,6798
84,6798
85,6798
86,6798
87,6798
88,6798
89,6798
90,6798
91,6798
92,6798
93,6798
94,6798
95,6798
96,6798
97,6798
98,6798
99,6798
100,6798
1,6798
2,6797
3,6797
4,6796
5,6796
6,6796
7,6796
8,6796
9,6795
10,6795
11,6795
12,6795
13,6795
14,6797
15,6797
16,6797
17,6797
18,6797
19,6796
20,6796
21,6797
22,6797
23,6797
24,6798
25,6798
26,6798
27,6798
28,6798
29,6798
30,6798
31,6797
32,6798
33,6798
34,6798
35,6798
36,6798
37,6797
38,6797
39,6797
40,6797
41,6797
42,6797
43,6797
44,6797
45,6797
46,6796
47,6797
48,6796
49,6796
50,6796
51,6796
52,6796
53,6795
54,6795
55,6795
56,6794
57,6794
58,6794
59,6794
60,6794
61,6794
62,6795
63,6796
64,6794
65,6794
66,6795
67,6795
68,6794
69,6794
70,6794
71,6795
72,6795
73,6794
74,6795
75,6795
76,6795
77,6795
78,6795
79,6794
80,6794
81,6794
82,6794
83,6794
84,6794
85,6794
86,6793
87,6793
88,6794
89,6793
90,6793
91,6792
92,6792
93,6792
94,6792
95,6792
96,6792
97,6791
98,6791
99,6792
100,6792
